자료제공: 국토교통부 실거래가 공개 시스템
조회기간: 2025.06.15 ~ 2026.06.14













시군구,단지명,거래금액(만원),전용면적(㎡),계약년월,계약일,동,층,건축년도,거래상태
경기도 성남시 분당구 정자동,가든아파트,"10,000",60.0,202509,27,100,1,202005,정상
경기도 성남시 분당구 서현동,서현타워,"11,000",65.0,202606,10,101,2,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"12,000",70.0,202509,17,102,3,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"13,000",75.0,202512,28,103,4,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"14,000",80.0,202510,01,104,5,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"15,000",85.0,202602,23,105,6,201505,정상
경기도 성남시 분당구 백현동,백현드림,"16,000",90.0,202507,05,106,7,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"17,000",95.0,202603,26,107,8,202005,정상
경기도 성남시 분당구 서현동,서현타워,"18,000",100.0,202510,16,108,9,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"19,000",105.0,202602,26,109,10,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"20,000",60.0,202509,12,100,11,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"21,000",65.0,202604,09,101,12,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"22,000",70.0,202509,24,102,13,201505,정상
경기도 성남시 분당구 백현동,백현드림,"23,000",75.0,202603,27,103,14,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"24,000",80.0,202511,16,104,15,202005,정상
경기도 성남시 분당구 서현동,서현타워,"10,000",85.0,202604,23,105,16,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"11,000",90.0,202511,14,106,17,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"12,000",95.0,202602,04,107,18,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"13,000",100.0,202506,16,108,19,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"14,000",105.0,202603,11,109,20,201505,정상
경기도 성남시 분당구 백현동,백현드림,"15,000",60.0,202511,22,100,1,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"16,000",65.0,202601,20,101,2,202005,정상
경기도 성남시 분당구 서현동,서현타워,"17,000",70.0,202510,24,102,3,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"18,000",75.0,202601,03,103,4,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"19,000",80.0,202511,25,104,5,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"20,000",85.0,202602,09,105,6,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"21,000",90.0,202507,06,106,7,201505,정상
경기도 성남시 분당구 백현동,백현드림,"22,000",95.0,202603,12,107,8,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"23,000",100.0,202508,03,108,9,202005,정상
경기도 성남시 분당구 서현동,서현타워,"24,000",105.0,202602,10,109,10,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"10,000",60.0,202512,04,100,11,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"11,000",65.0,202512,28,101,12,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"12,000",70.0,202512,09,102,13,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"13,000",75.0,202602,02,103,14,201505,정상
경기도 성남시 분당구 백현동,백현드림,"14,000",80.0,202510,02,104,15,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"15,000",85.0,202602,06,105,16,202005,정상
경기도 성남시 분당구 서현동,서현타워,"16,000",90.0,202508,18,106,17,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"17,000",95.0,202604,23,107,18,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"18,000",100.0,202508,05,108,19,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"19,000",105.0,202604,27,109,20,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"20,000",60.0,202507,05,100,1,201505,정상
경기도 성남시 분당구 백현동,백현드림,"21,000",65.0,202602,24,101,2,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"22,000",70.0,202512,01,102,3,202005,정상
경기도 성남시 분당구 서현동,서현타워,"23,000",75.0,202512,31,103,4,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"24,000",80.0,202510,26,104,5,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"10,000",85.0,202603,12,105,6,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"11,000",90.0,202508,14,106,7,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"12,000",95.0,202512,27,107,8,201505,정상
경기도 성남시 분당구 백현동,백현드림,"13,000",100.0,202506,23,108,9,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"14,000",105.0,202603,13,109,10,202005,정상
경기도 성남시 분당구 서현동,서현타워,"15,000",60.0,202508,07,100,11,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"16,000",65.0,202604,22,101,12,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"17,000",70.0,202509,08,102,13,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"18,000",75.0,202603,15,103,14,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"19,000",80.0,202510,05,104,15,201505,정상
경기도 성남시 분당구 백현동,백현드림,"20,000",85.0,202606,02,105,16,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"21,000",90.0,202506,22,106,17,202005,정상
경기도 성남시 분당구 서현동,서현타워,"22,000",95.0,202606,05,107,18,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"23,000",100.0,202507,19,108,19,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"24,000",105.0,202603,04,109,20,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"10,000",60.0,202511,28,100,1,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"11,000",65.0,202602,01,101,2,201505,정상
경기도 성남시 분당구 백현동,백현드림,"12,000",70.0,202509,28,102,3,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"13,000",75.0,202604,24,103,4,202005,정상
경기도 성남시 분당구 서현동,서현타워,"14,000",80.0,202506,16,104,5,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"15,000",85.0,202604,26,105,6,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"16,000",90.0,202508,08,106,7,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"17,000",95.0,202603,29,107,8,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"18,000",100.0,202506,18,108,9,201505,정상
경기도 성남시 분당구 백현동,백현드림,"19,000",105.0,202602,05,109,10,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"20,000",60.0,202511,10,100,11,202005,정상
경기도 성남시 분당구 서현동,서현타워,"21,000",65.0,202601,26,101,12,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"22,000",70.0,202511,26,102,13,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"23,000",75.0,202512,27,103,14,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"24,000",80.0,202509,19,104,15,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"10,000",85.0,202601,30,105,16,201505,정상
경기도 성남시 분당구 백현동,백현드림,"11,000",90.0,202506,29,106,17,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"12,000",95.0,202601,22,107,18,202005,정상
경기도 성남시 분당구 서현동,서현타워,"13,000",100.0,202509,06,108,19,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"14,000",105.0,202604,03,109,20,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"15,000",60.0,202508,07,100,1,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"16,000",65.0,202601,06,101,2,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"17,000",70.0,202511,18,102,3,201505,정상
경기도 성남시 분당구 백현동,백현드림,"18,000",75.0,202604,16,103,4,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"19,000",80.0,202507,25,104,5,202005,정상
경기도 성남시 분당구 서현동,서현타워,"20,000",85.0,202605,18,105,6,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"21,000",90.0,202506,29,106,7,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"22,000",95.0,202601,27,107,8,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"23,000",100.0,202508,19,108,9,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"24,000",105.0,202603,12,109,10,201505,정상
경기도 성남시 분당구 백현동,백현드림,"10,000",60.0,202508,25,100,11,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"11,000",65.0,202512,22,101,12,202005,정상
경기도 성남시 분당구 서현동,서현타워,"12,000",70.0,202509,12,102,13,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"13,000",75.0,202604,21,103,14,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"14,000",80.0,202510,30,104,15,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"15,000",85.0,202602,14,105,16,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"16,000",90.0,202511,03,106,17,201505,정상
경기도 성남시 분당구 백현동,백현드림,"17,000",95.0,202603,04,107,18,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"18,000",100.0,202510,30,108,19,202005,정상
경기도 성남시 분당구 서현동,서현타워,"19,000",105.0,202605,24,109,20,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"20,000",60.0,202511,27,100,1,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"21,000",65.0,202601,15,101,2,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"22,000",70.0,202510,17,102,3,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"23,000",75.0,202512,18,103,4,201505,정상
경기도 성남시 분당구 백현동,백현드림,"24,000",80.0,202507,25,104,5,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"10,000",85.0,202601,10,105,6,202005,정상
경기도 성남시 분당구 서현동,서현타워,"11,000",90.0,202510,29,106,7,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"12,000",95.0,202602,23,107,8,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"13,000",100.0,202506,26,108,9,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"14,000",105.0,202605,23,109,10,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"15,000",60.0,202507,17,100,11,201505,정상
경기도 성남시 분당구 백현동,백현드림,"16,000",65.0,202601,30,101,12,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"17,000",70.0,202511,15,102,13,202005,정상
경기도 성남시 분당구 서현동,서현타워,"18,000",75.0,202602,13,103,14,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"19,000",80.0,202507,21,104,15,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"20,000",85.0,202603,22,105,16,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"21,000",90.0,202512,06,106,17,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"22,000",95.0,202603,27,107,18,201505,정상
경기도 성남시 분당구 백현동,백현드림,"23,000",100.0,202507,19,108,19,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"24,000",105.0,202603,24,109,20,202005,정상
경기도 성남시 분당구 서현동,서현타워,"10,000",60.0,202512,09,100,1,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"11,000",65.0,202604,23,101,2,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"12,000",70.0,202506,15,102,3,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"13,000",75.0,202512,18,103,4,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"14,000",80.0,202511,06,104,5,201505,정상
경기도 성남시 분당구 백현동,백현드림,"15,000",85.0,202603,26,105,6,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"16,000",90.0,202507,11,106,7,202005,정상
경기도 성남시 분당구 서현동,서현타워,"17,000",95.0,202604,29,107,8,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"18,000",100.0,202506,29,108,9,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"19,000",105.0,202603,13,109,10,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"20,000",60.0,202507,26,100,11,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"21,000",65.0,202604,16,101,12,201505,정상
경기도 성남시 분당구 백현동,백현드림,"22,000",70.0,202512,13,102,13,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"23,000",75.0,202602,14,103,14,202005,정상
경기도 성남시 분당구 서현동,서현타워,"24,000",80.0,202509,20,104,15,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"10,000",85.0,202602,03,105,16,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"11,000",90.0,202509,20,106,17,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"12,000",95.0,202604,24,107,18,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"13,000",100.0,202511,15,108,19,201505,정상
경기도 성남시 분당구 백현동,백현드림,"14,000",105.0,202605,04,109,20,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"15,000",60.0,202512,05,100,1,202005,정상
경기도 성남시 분당구 서현동,서현타워,"16,000",65.0,202601,11,101,2,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"17,000",70.0,202507,20,102,3,199505,정상
경기도 성남시 분당구 분당동,분당한솔,"18,000",75.0,202512,26,103,4,200005,정상
경기도 성남시 분당구 야탑동,야탑센트럴,"19,000",80.0,202511,24,104,5,199805,정상
경기도 성남시 분당구 삼평동,판교삼성,"20,000",85.0,202602,22,105,6,201505,정상
경기도 성남시 분당구 백현동,백현드림,"21,000",90.0,202509,10,106,7,201005,정상
경기도 성남시 분당구 정자동,가든아파트,"22,000",95.0,202601,10,107,8,202005,정상
경기도 성남시 분당구 서현동,서현타워,"23,000",100.0,202508,20,108,9,201005,정상
경기도 성남시 분당구 판교동,판교쌍용,"24,000",105.0,202605,31,109,10,199505,정상
